year,birthrt
1940,7.0999999046
1941,7.8000001907
1942,8
1943,8.3000001907
1944,9
1945,10.1000003815
1946,10.8999996185
1947,12.1000003815
1948,12.5
1949,13.3000001907
1950,14.1000003815
1951,15.1000003815
1952,15.8000001907
1953,16.8999996185
1954,18.7000007629
1955,19.2999992371
1956,20.3999996185
1957,21
1958,21.2000007629
1959,21.8999996185
1960,21.6000003815
1961,22.7000007629
1962,21.8999996185
1963,22.5
1964,23
1965,23.3999996185
1966,23.2999992371
1967,23.7000007629
1968,24.2999992371
1969,24.7999992371
1970,26.3999996185
1971,25.5
1972,24.7999992371
1973,24.2999992371
1974,23.8999996185
1975,24.5
1976,24.2999992371
1977,25.6000003815
1978,25.7000007629
1979,27.2000007629
1980,28.3999996185
1981,29.5
1982,30
1983,30.2999992371
1984,31
1985,32.7999992371
1986,34.2000007629
1987,36
1988,38.5
1989,41.5999984741
1990,43.7999992371
1991,45.2000007629
1992,45.2000007629
