tar,nicotine
3,0.3000000119
14,1.2000000477
16,1.2999999523
10,1
18,1.3999999762
13,1.2000000477
1,0.1000000015
10,0.8999999762
16,1.2999999523
13,1.1000000238
15,1.2000000477
12,1
8,0.8999999762
12,1.2999999523
13,1.2000000477
15,1.2999999523
12.8999996185,0.8899999857
16,1.2000000477
17,1.2999999523
4,0.400000006
13,1.1000000238
3,0.400000006
1,0.200000003
13,1.1000000238
16,1.2999999523
11,1
16,1.2999999523
16,1.2999999523
19,1.3999999762
10,1.1000000238
16,1.2000000477
16,1.2000000477
9,1
4,0.5
0.6999999881,0.0900000036
