state,resident
Alabama,35.7000007629
Alaska,22.5
Arizona,21.7000007629
Arkansas,50.5
California,26.7000007629
Colorado,40
Connecticut,54.5999984741
Delaware,43.2000007629
District of Columbia,34.4000015259
Florida,23.1000003815
Georgia,45.5
Hawaii,13.6000003815
Idaho,31.2999992371
Illinois,52.0999984741
Indiana,59.2000007629
Iowa,70.5
Kansas,65.4000015259
Kentucky,47.7999992371
Louisiana,59.7000007629
Maine,51.4000015259
Maryland,44.5999984741
Massachusetts,54
Michigan,36.0999984741
Minnesota,67.5999984741
Mississippi,40.5999984741
Missouri,57.5999984741
Montana,44.2000007629
Nebraska,67.4000015259
Nevada,18.6000003815
New Hampshire,52.7000007629
New Jersey,33.4000015259
New Mexico,30.2000007629
New York,37
North Carolina,30.3999996185
North Dakota,59.5
Ohio,49.2999992371
Oklahoma,59.0999984741
Oregon,30.2000007629
Pennsylvania,40.5999984741
Rhode Island,60.2999992371
South Carolina,28.7999992371
South Dakota,74.9000015259
Tennessee,45.7999992371
Texas,47.7000007629
Utah,29.1000003815
Vermont,46.2000007629
Virginia,33.7999992371
Washington,37.7999992371
West Virginia,32.2999992371
Wisconsin,62.0999984741
Wyoming,37.7999992371
