bed,year
4.6999998093,80
3.9000000954,80
4.4000000954,80
4.4000000954,80
3.7999999523,80
3.5,80
4.5,80
4.1999998093,80
4.8000001907,80
4.6999998093,80
4.5,80
5.0999999046,80
4.4000000954,80
4.9000000954,80
5.6999998093,80
5.6999998093,80
5.6999998093,80
7.4000000954,80
5.5,80
6,80
5.8000001907,80
3.5999999046,80
3.5999999046,80
7.3000001907,80
4.0999999046,80
5.5,80
4.1999998093,80
3.9000000954,80
4.5999999046,80
5.0999999046,80
4.5,80
5.5,80
5.0999999046,80
5.3000001907,80
5,80
4.8000001907,80
4.5999999046,80
4.6999998093,80
5.9000000954,80
3.7000000477,80
3.5999999046,80
4.1999998093,80
3.0999999046,80
3.5999999046,80
3.0999999046,80
4.1999998093,80
3.0999999046,80
3.5,80
3.5999999046,80
2.7000000477,80
3.0999999046,80
4.1999998093,86
3.2999999523,86
4,86
4.3000001907,86
3.5,86
3.0999999046,86
4.3000001907,86
3.9000000954,86
4.5999999046,86
4.4000000954,86
4.1999998093,86
4.5,86
4,86
4.5,86
5,86
5.1999998093,86
5.0999999046,86
7.1999998093,86
6.5,86
5.9000000954,86
5,86
3.4000000954,86
3.2999999523,86
7.6999998093,86
3.7000000477,86
5.0999999046,86
3.5,86
3.4000000954,86
4.3000001907,86
4.4000000954,86
4.4000000954,86
5.3000001907,86
5,86
5.1999998093,86
4.6999998093,86
4.5,86
4,86
3.7999999523,86
5.6999998093,86
3.2999999523,86
4.4000000954,86
3.5,86
2.9000000954,86
3.0999999046,86
2.7000000477,86
3.7000000477,86
3,86
3.0999999046,86
3.0999999046,86
2.4000000954,86
2.5999999046,86
